,xvalues,yvalues
0,0,8278
1,1,7989
2,2,8585
3,3,8244
4,4,9257
5,5,10358
6,6,9196
7,7,9147
8,8,9641
9,9,9547
10,10,9580
11,11,8614
12,12,9052
13,13,10534
14,14,9934
15,15,9404
16,16,10429
17,17,10315
18,18,10706
19,19,11800
20,20,11230
21,21,10469
22,22,11092
23,23,11383
24,24,12390
25,25,11143
26,26,10580
27,27,11437
28,28,11520
29,29,11367
30,30,11374
31,31,10156
32,32,10899
33,33,11679
34,34,12960
35,35,13692
36,36,14094
37,37,14061
38,38,13329
39,39,13884
40,40,14320
41,41,14464
42,42,15629
43,43,15883
44,44,14766
45,45,14877
46,46,13269
47,47,13954
48,48,14944
49,49,15403
50,50,16038
51,51,15274
52,52,14244
53,53,15943
54,54,17233
55,55,17956
56,56,16512
57,57,15641
58,58,16171
59,59,17628
60,60,18635
61,61,18170
62,62,17979
63,63,18456
64,64,17195
65,65,16524
66,66,17317
67,67,18890
68,68,18246
69,69,17788
70,70,18290
71,71,15255
72,72,15384
73,73,16599
74,74,18671
75,75,17528
76,76,15488
77,77,16067
78,78,17373
79,79,17386
80,80,17126
81,81,16680
82,82,16009
83,83,15874
84,84,16908
85,85,16248
86,86,16724
87,87,15648
88,88,16150
89,89,16338
90,90,16679
91,91,15967
92,92,14476
93,93,13648
94,94,13424
95,95,13559
96,96,13639
97,97,13624
98,98,14535
99,99,14401
100,100,13888
101,101,13914
102,102,14212
103,103,13924
104,104,12687
105,105,13584
106,106,13192
107,107,12136
108,108,13889
109,109,13967
110,110,12643
111,111,12290
112,112,10351
113,113,11309
114,114,12114
115,115,12131
116,116,12322
117,117,13515
118,118,12916
119,119,10870
120,120,11163
121,121,10501
122,122,9954
123,123,9692
124,124,10667
125,125,10386
126,126,11851
127,127,11896
128,128,11909
129,129,11260
130,130,10022
131,131,9862
132,132,11067
133,133,10423
134,134,9940
135,135,10225
136,136,9562
137,137,10198
138,138,10542
139,139,10201
140,140,9102
141,141,10722
142,142,10943
143,143,10622
144,144,10452
145,145,10757
146,146,11265
147,147,11420
148,148,11102
149,149,10005
150,150,10605
151,151,9818
152,152,9855
153,153,9952
154,154,9274
155,155,9673
156,156,11150
157,157,9892
158,158,11923
159,159,11157
160,160,10908
161,161,10655
162,162,11300
163,163,13016
164,164,12512
165,165,11084
166,166,11529
167,167,12651
168,168,13041
169,169,11770
170,170,12340
171,171,13228
172,172,13906
173,173,14369
174,174,13627
175,175,13910
176,176,12858
177,177,14070
178,178,15247
179,179,14355
180,180,13905
181,181,15460
182,182,15918
183,183,15326
184,184,14477
185,185,14914
186,186,15555
187,187,15344
188,188,14398
189,189,14709
190,190,14595
191,191,15134
192,192,14956
193,193,15019
194,194,16025
195,195,15725
196,196,14403
197,197,15390
198,198,16412
199,199,14606
200,200,15253
201,201,15810
202,202,14969
203,203,14267
204,204,15455
205,205,18539
206,206,16787
207,207,15449
208,208,16702
209,209,16161
210,210,14788
211,211,15002
212,212,15763
213,213,15074
214,214,16201
215,215,16962
216,216,17658
217,217,16534
218,218,16783
219,219,15591
220,220,14776
221,221,16310
222,222,17614
223,223,17905
224,224,17905
225,225,16923
226,226,15960
227,227,14591
228,228,15558
229,229,15121
230,230,14599
231,231,14595
232,232,14617
233,233,14573
234,234,15446
235,235,15484
236,236,13563
237,237,13308
238,238,15050
239,239,14781
240,240,13508
241,241,13696
242,242,14083
243,243,14535
244,244,14715
245,245,13301
246,246,12409
247,247,12974
248,248,13705
249,249,13518
250,250,13722
251,251,15237
252,252,14833
253,253,15162
254,254,13636
255,255,12330
256,256,13140
257,257,12318
258,258,11215
259,259,10304
260,260,11655
261,261,12618
262,262,11259
263,263,10571
264,264,11671
265,265,11146
266,266,10520
267,267,11213
268,268,10168
269,269,10276
270,270,9817
271,271,10343
272,272,10064
273,273,11026
274,274,9845
275,275,9839
276,276,9446
277,277,10909
278,278,10166
279,279,9466
280,280,9493
281,281,10210
282,282,9990
283,283,9433
284,284,10336
285,285,9768
286,286,10274
287,287,10309
288,288,9403
289,289,10391
290,290,10885
291,291,10682
292,292,10172
293,293,10082
294,294,10681
295,295,11393
296,296,11310
297,297,11240
298,298,11438
299,299,10223
300,300,10586
301,301,10880
302,302,10962
303,303,12598
304,304,12653
305,305,13368
306,306,12153
307,307,11858
308,308,12259
309,309,13572
310,310,13830
311,311,13147
312,312,12762
313,313,12981
314,314,14145
315,315,13452
316,316,11885
317,317,12227
318,318,12623
319,319,12745
320,320,13105
321,321,14108
322,322,15590
323,323,16062
324,324,14760
325,325,14593
326,326,15556
327,327,14791
328,328,16617
329,329,17251
330,330,15984
331,331,15449
332,332,18015
333,333,18771
334,334,17279
335,335,16985
336,336,17297
337,337,18404
338,338,18273
339,339,17606
340,340,16825
341,341,16010
342,342,17210
343,343,18224
344,344,17998
345,345,17932
346,346,17305
347,347,17118
348,348,17256
349,349,16739
350,350,15796
351,351,16208
352,352,17902
353,353,17102
354,354,16345
355,355,17222
356,356,18267
357,357,19434
358,358,17921
359,359,17479
360,360,18573
361,361,20564
362,362,19900
363,363,17282
364,364,17476
365,365,17632
366,366,17110
367,367,18498
368,368,18106
369,369,18525
370,370,18704
371,371,19521
372,372,16752
373,373,14674
374,374,15475
375,375,14992
376,376,15148
377,377,16043
378,378,16627
379,379,16167
380,380,16515
381,381,15670
382,382,16380
383,383,17083
384,384,17706
385,385,15805
386,386,14515
387,387,15840
388,388,16547
389,389,16797
390,390,14585
391,391,13644
392,392,14087
393,393,14822
394,394,13782
395,395,13798
396,396,14648
397,397,13787
398,398,13373
399,399,13526
400,400,12580
401,401,12457
402,402,12015
403,403,12634
404,404,13224
405,405,13045
406,406,11708
407,407,11621
408,408,11255
409,409,11587
